run_id,timestamp,model_type,tag,kind,epochs_run,best_epoch,best_val_loss,crosses_f1,crosses_auc,macro_f1,looks_f1,actions_f1,run_dir,best_ckpt,git_sha
test_phase_schedule_smoke_thre0,test_phase,full,schedule,schedule,3,1,1.5,0.6667,1.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\claude\pytest-of-LENOVO\pytest-43\test_phase_schedule_smoke_thre0,C:\Users\LENOVO\AppData\Local\Temp\claude\pytest-of-LENOVO\pytest-43\test_phase_schedule_smoke_thre0\phase_2_p3\checkpoints\best.pth,d5dc067
test_reload_best_between_phase0,test_reload,full,schedule,schedule,2,1,1.5035,0.6667,1.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\claude\pytest-of-LENOVO\pytest-43\test_reload_best_between_phase0,C:\Users\LENOVO\AppData\Local\Temp\claude\pytest-of-LENOVO\pytest-43\test_reload_best_between_phase0\phase_1_p2\checkpoints\best.pth,d5dc067
test_fit_smoke_one_tiny_chunk0,test_fit,full,,train,1,1,1.5028,0.6667,0.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\claude\pytest-of-LENOVO\pytest-43\test_fit_smoke_one_tiny_chunk0,C:\Users\LENOVO\AppData\Local\Temp\claude\pytest-of-LENOVO\pytest-43\test_fit_smoke_one_tiny_chunk0\checkpoints\best.pth,d5dc067
test_phase_schedule_smoke_thre0,test_phase,full,schedule,schedule,3,1,1.5,0.6667,1.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\claude\pytest-of-LENOVO\pytest-44\test_phase_schedule_smoke_thre0,C:\Users\LENOVO\AppData\Local\Temp\claude\pytest-of-LENOVO\pytest-44\test_phase_schedule_smoke_thre0\phase_2_p3\checkpoints\best.pth,bb5a751
test_reload_best_between_phase0,test_reload,full,schedule,schedule,2,1,1.5035,0.6667,1.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\claude\pytest-of-LENOVO\pytest-44\test_reload_best_between_phase0,C:\Users\LENOVO\AppData\Local\Temp\claude\pytest-of-LENOVO\pytest-44\test_reload_best_between_phase0\phase_1_p2\checkpoints\best.pth,bb5a751
test_fit_smoke_one_tiny_chunk0,test_fit,full,,train,1,1,1.5028,0.6667,0.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\claude\pytest-of-LENOVO\pytest-44\test_fit_smoke_one_tiny_chunk0,C:\Users\LENOVO\AppData\Local\Temp\claude\pytest-of-LENOVO\pytest-44\test_fit_smoke_one_tiny_chunk0\checkpoints\best.pth,bb5a751
test_phase_schedule_smoke_thre0,test_phase,full,schedule,schedule,3,1,1.5,0.6667,1.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\claude\pytest-of-LENOVO\pytest-45\test_phase_schedule_smoke_thre0,C:\Users\LENOVO\AppData\Local\Temp\claude\pytest-of-LENOVO\pytest-45\test_phase_schedule_smoke_thre0\phase_2_p3\checkpoints\best.pth,4f2206a
test_reload_best_between_phase0,test_reload,full,schedule,schedule,2,1,1.5035,0.6667,1.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\claude\pytest-of-LENOVO\pytest-45\test_reload_best_between_phase0,C:\Users\LENOVO\AppData\Local\Temp\claude\pytest-of-LENOVO\pytest-45\test_reload_best_between_phase0\phase_1_p2\checkpoints\best.pth,4f2206a
test_fit_smoke_one_tiny_chunk0,test_fit,full,,train,1,1,1.5028,0.6667,0.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\claude\pytest-of-LENOVO\pytest-45\test_fit_smoke_one_tiny_chunk0,C:\Users\LENOVO\AppData\Local\Temp\claude\pytest-of-LENOVO\pytest-45\test_fit_smoke_one_tiny_chunk0\checkpoints\best.pth,4f2206a
test_phase_schedule_smoke_thre0,test_phase,full,schedule,schedule,3,1,1.5,0.6667,1.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\claude\pytest-of-LENOVO\pytest-47\test_phase_schedule_smoke_thre0,C:\Users\LENOVO\AppData\Local\Temp\claude\pytest-of-LENOVO\pytest-47\test_phase_schedule_smoke_thre0\phase_2_p3\checkpoints\best.pth,4f2206a
